ID,ACT_CATEGORY,ACT_CODE,ACT_TITLE,ACT_DESCRIPTION,ACT_WEB_ADDRESS
117,Research Construction Programs,C06,Research Facilities Construction Grant,"To provide matching Federal funds, up to 75%, for construction or major remodeling, to create new research facilities. In addition to basic research laboratories this may include, under certain circumstances, animal facilities and/or limited clinical facilities where they are an integral part of an overall research effort.",
1,Institutional Training and Director Program Projects,D43,International Research Training Grants,To support research training programs for US and foreign professionals and students to strengthen global health research and international research collaboration. ,http://grants.nih.gov/training/F_files_non_nrsa.htm
2,Institutional Training and Director Program Projects,D71,International Research Training Planning Grant,To plan for the preparation of an application for a D43 international research training grant or for a U2R international research training cooperative agreement.,http://grants.nih.gov/training/F_files_non_nrsa.htm
3,Institutional Training and Director Program Projects,DP1,NIH Director’s Pioneer Award (NDPA),To support individuals who have the potential to make extraordinary contributions to medical research. The NIH Director’s Pioneer Award is not renewable.,http://commonfund.nih.gov/pioneer/
4,Institutional Training and Director Program Projects,DP2,NIH Director’s New Innovator Awards,To support highly innovative research projects by new investigators in all areas of biomedical and behavioral research.,http://commonfund.nih.gov/newinnovator/
195,Institutional Training and Director Program Projects,DP3,Type 1 Diabetes Targeted Research Award,To support research tackling major challenges in type 1 diabetes and promoting new approaches to these challenges by scientific teams.,
212,Institutional Training and Director Program Projects,DP4,NIH Director’s Pathfinder Award - Multi-Yr Funding ,"To support multi-year funded research with unique, high impact ideas for addressing biomedical research including assuring a balanced and effective workforce.  This research grant program will encourage exceptionally creative scientists to develop potentially transforming approaches for supported research.  The proposed research must reflect ideas that are substantially different from those already being pursued or they must apply existing research designs in new and innovative ways.  This is a multi-year, funded companion activity code to the existing Pioneer Award (DP1); thus ICs need OER prior approval to use the DP4.",
215,Institutional Training and Director Program Projects,DP5,Early Independence Award,To support the independent research project of a recent doctoral degree recipient. This research grant program will encourage exceptionally creative scientists to bypass the typical post-doc research training period in order to move rapidly to research independence.  It will encourage institutions to develop independent career tracks for recent graduates in order to demonstrate the benefits of early transition to independence both in terms of career productivity for the candidate and research capability for the institution.,
228,Institutional Training and Director Program Projects,DP7,NIH Director’s Workforce Innovation Award,To stimulate transformative approaches to training and/or workforce management with the intent of promoting culture change in the field of biomedical training.,
118,Health Professions Programs,E11,Grants for Public Health Special Projects,"To provide grants to public or nonprofit organizations for planning, development, demonstration, research, training, public information projects for preventive medicine, health promotion and disease prevention to improve the health of targeted populations.",
