If you have any questions or corrections please email Franklin (ffein@stanford.edu),,Please let us know which metrics you found most useful and suggestions for more! https://forms.gle/U7cqAyRm2huJCn3a7,,,,,Last updated: 6/1/2021,,,,,,,,,,,
Assession Number,Dataset URL,Dataset name,Dataset made public (MM/DD/YYYY),Most recent snapshot date (MM/DD/YYYY),# of subjects,Modalities available?,DX status(es),Ages (range),Tasks completed?,# of trials (if applicable),Study design,Domain studied,Longitudinal?,Processed data?,Species?,DOI of paper associated with DS (from submitter lab),DOI of paper because DS on OpenNeuro,"Senior Author (lab that collected data) Last, First"
ds000001,https://openneuro.org/datasets/ds000001/versions/00006,Balloon Analog Risk-taking Task,7/13/2018,7/13/2018,16,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",Ballon Analog Risk Task,,,"Risk-taking, Decision-making",No,No,Human,10.3389/fnins.2012.00080,,"Poldrack, Russ"
ds000002,https://openneuro.org/datasets/ds000002/versions/00002,Classification learning,7/13/2018,7/13/2018,17,"MRI - anat, MRI - func",Healthy/Control,18-25,classification learning,100,test-retest,learning,Yes,Yes,Human,10.1016/j.neuroimage.2005.08.010,,"Poldrack, Russ"
ds000003,https://openneuro.org/datasets/ds000003/versions/00001,Rhyme judgment,7/13/2018,7/13/2018,13,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",rhyme verification ,64,,,No,Yes,Human,,10.1038/s41467-019-13634-z,"Poldrack, Russ"
ds000005,https://openneuro.org/datasets/ds000005/versions/00001,Mixed-gambles task,7/13/2018,7/13/2018,16,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",mixed gambles,85,,decision-making,No,No,Human,10.1126/science.1134239,arXiv:2001.02894v1,"Poldrack, Russ"
ds000006,https://openneuro.org/datasets/ds000006/versions/00001,ds000006,7/13/2018,7/13/2018,14,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",living-nonliving judgement on mirror-reversed and plain-text words,64,test-retest,"learning, procedural memory, executive control",Yes,No,Human,10.3389/fnhum.2014.00339,,"Poldrack, Russ"
ds000007,https://openneuro.org/datasets/ds000007/versions/00001,Stop-signal task with spoken & manual responses,7/13/2018,7/13/2018,20,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34","stop manual, stop letter naming, stop PW naming",128,,"language, response inhibition",No,Yes,Human,https://doi.org/10.1093/cercor/bhm220,,"Poldrack, Russ"
ds000008,https://openneuro.org/datasets/ds000008/versions/00001,Stop-signal task with unconditional and conditional stopping,7/13/2018,7/13/2018,14,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34","stop-signal, conditional stop-signal",128,,cognitive control,No,No,Human,10.1523/JNEUROSCI.0519-07.2007,,"Poldrack, Russ"
ds000009,https://openneuro.org/datasets/ds000009/versions/00002,The generality of self-control,7/13/2018,7/13/2018,24,"MRI - anat, MRI - func, MRI - dwi",Healthy/Control,"18-25, 26-34, 35-50","stop-signal, balloon analog risk task, discounting, emotional regulation",,,self-control,No,Yes,Human,,,"Poldrack, Russ"
ds000011,https://openneuro.org/datasets/ds000011/versions/00001,Classification learning and tone-counting,7/13/2018,7/13/2018,14,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34, 35-50","Classification probe without feedback, Dual task weather prediction, Single task weather prediction, Tone counting",60 trials per run,,Declarative memory,No,No,Human,https://doi.org/10.1073/pnas.0602659103,,"Poldrack, Russ"
ds000017,https://openneuro.org/datasets/ds000017/versions/00001,ds000017,7/13/2018,7/13/2018,8,"MRI - anat, MRI - func",Healthy/Control,"26-34, 35-50","probabilistic classification learning, stop-signal",,,classification learning,Yes,No,Human,,,"Poldrack, Russ"
ds000030,https://openneuro.org/datasets/ds000030/versions/00016,UCLA Consortium for Neuropsychiatric Phenomics LA5c Study,7/17/2018,7/17/2018,272,"MRI - anat, MRI - func, MRI - dwi","Healthy/Control, schizophrenia, bipolar, ADHD","18-25, 26-34, 35-50","Task-switching, Spatial Capacity, Verbal Capacity, Delay Discounting, Balloon Analog Risk Task, Attention Network, Continuous Performance Go/NoGo, Stroop Color Word, Stop Signal, Scene Recognition, Remember-Know, Spatial Maintenance and Manipulation, Verbal Maintenance and Manipulation, Probabilistic Reversal Learning, Deterministic Reversal Learning",,,"memory, inhibition, executive control, ",No,Yes,Human,https://doi.org/10.1038/sdata.2016.110,"https://doi.org/10.1016/j.nicl.2019.101854, https://doi.org/10.1101/637827, https://arxiv.org/pdf/1911.01898.pdf, https://arxiv.org/pdf/1911.12124.pdf, 10.1038/s41591-020-0793-8, 10.31234/osf.io/fwr3m, 10.1007/s00429-020-02078-7, 10.1016/j.pnpbp.2020.110175","Poldrack, Russ"
ds000031,https://openneuro.org/datasets/ds000031/versions/00001,MyConnectome,7/18/2018,7/18/2018,1,"MRI - anat, MRI - func, MRI - dwi",Healthy/Control,35-50,"rest, n-back, breath hold, dotstop, objects, language wm, spatial wm, eyesopen, retinotopy",,,Within-Subject Variability,Yes,Yes,Human,https://doi.org/10.1016/j.neuron.2015.06.037,"https://arxiv.org/pdf/1908.03264.pdf, 10.1007/978-3-030-29184-6_4, 10.1007/978-3-030-29184-6_5","Poldrack, Russ"
ds000051,https://openneuro.org/datasets/ds000051/versions/00001,Cross-language repetition priming,7/13/2018,7/13/2018,13,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34, 35-50",Abstract concrete judgement,96,,,No,Yes,Human,,,"Poldrack, Russ"
ds000052,https://openneuro.org/datasets/ds000052/versions/00001,Classification learning and reversal,7/13/2018,7/13/2018,13,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34","Reversal weather prediction, weather prediction",48,,classification learning,No,Yes,Human,https://doi.org/10.1038/35107080,,"Gluck, Mark"
ds000053,https://openneuro.org/datasets/ds000053/versions/00001,Training of loss aversion modulates neural sensitivity toward potential gains,7/17/2018,7/17/2018,59,"MRI - anat, MRI - func",Healthy/Control,18-25,"Gambling task, Post-test, Baseline",,,decision making,No,Yes,Human,https://doi.org/10.1038/s41598-018-37236-9,,"Poldrack, Russ"
ds000101,https://openneuro.org/datasets/ds000101/versions/00004,Simon task,7/13/2018,7/13/2018,21,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34, 35-50",Simon Task,97,,Extrinsic and intrinsic architecture,No,Yes,Human,https://doi.org/10.1093/cercor/bhs010,,"Milham, Michael"
ds000102,https://openneuro.org/datasets/ds000102/versions/00001,Flanker task (event-related),7/13/2018,7/13/2018,26,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34, 35-50",Flanker task,24,,intraindividual variability ,No,Yes,Human,"10.1016/j.neuroimage.2007.08.008, 10.1016/j.neuroimage.2010.01.002, 10.1016/j.neuroimage.2010.10.046",10.1038/s41467-019-13634-z,"Milham, Michael"
ds000105,https://openneuro.org/datasets/ds000105/versions/00001,Visual object recognition,7/13/2018,7/13/2018,6,"MRI - anat, MRI - func",Healthy/Control,,object viewing,96,,Vision,No,Yes,Human,"10.1126/science.1063736, 10.1016/j.neuroimage.2004.05.020, 10.1162/0898929053467550","10.1002/ima.22353, 10.1109/TFUZZ.2019.2936807, 10.1007/978-3-030-29184-6_4, arXiv:2001.02894v1","Haxby, James"
ds000107,https://openneuro.org/datasets/ds000107/versions/00001,Word and object processing,7/13/2018,7/13/2018,49,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34, 35-50",One-back task,384,,Object recognition,No,No,Human,10.1016/j.neuroimage.2009.03.014,"10.1002/ima.22353, 1906.10591v1, arXiv:2001.02894v1","Devlin, Joseph"
ds000108,https://openneuro.org/datasets/ds000108/versions/00002,Prefrontal-Subcortical Pathways Mediating Successful Emotion Regulation,7/17/2018,7/17/2018,34,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",emotion regulation,60,,Emotion regulation,No,No,Human,10.1016/j.neuron.2008.09.006,,"Ochsner, Kevin"
ds000109,https://openneuro.org/datasets/ds000109/versions/00001,False belief task,7/13/2018,7/13/2018,36,"MRI - anat, MRI - func",Healthy/Control,"18-25, 66+","animate movement, moral judgement, and false belief",203,,Social interaction,No,No,Human,10.1523/JNEUROSCI.5511-11.2012,https://lib.ugent.be/fulltxt/RUG01/002/782/966/RUG01-002782966_2019_0001_AC.pdf,"Mitchell, Jason"
ds000110,https://openneuro.org/datasets/ds000110/versions/00001,Incidental encoding task (Posner Cueing Paradigm),7/13/2018,7/13/2018,18,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",Incidental encoding ,112,,episodic memory,No,Yes,Human,10.1523/JNEUROSCI.0152-11.2011,,"Wagner, Anthony"
