,AccessionNumber,Dataset URL,Dataset name,ReleaseDate,Most recent snapshot date (MM/DD/YYYY),NSubjects,Modalities,DX status(es),Ages (range),Tasks completed?,# of trials (if applicable),Study design,Domain studied,Longitudinal?,Processed data?,Species,DOI of paper associated with DS (from submitter lab),DOI of paper because DS on OpenNeuro,"Senior Author (lab that collected data) Last, First"
0,ds000001,https://openneuro.org/datasets/ds000001/versions/1.0.0,ds001,10/12/2016,10/12/2016,16,"MRI - func, MRI - anat",,"18-25, 26-34",balloon analog risk task,,,,No,No,,,,"Poldrack, Russell A."
1,ds000002,https://openneuro.org/datasets/ds000002/versions/00002,Classification learning,10/12/2016,10/12/2016,17,"MRI - func, MRI - anat",,"18-25, 26-34","deterministic classification, mixed event-related probe, probabilistic classification",,,,No,No,,,,"Poldrack, R.A."
2,ds000003,https://openneuro.org/datasets/ds000003/versions/1.0.0,Rhyme judgment,10/13/2016,10/13/2016,13,"MRI - anat, MRI - func",,"18-25, 26-34, 35-50",rhyme judgment,,,,No,No,,,,"Poldrack, Russell A."
3,ds000005,https://openneuro.org/datasets/ds000005/versions/00001,ds000005,10/13/2016,10/13/2016,16,"MRI - func, MRI - anat",,"18-25, 26-34",mixed-gambles task,,,,No,No,,,,"R.A., Poldrack"
4,ds000006,https://openneuro.org/datasets/ds000006/versions/00001,ds000006,10/13/2016,10/13/2016,14,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",living-nonliving decision with plain or mirror-reversed text,,,,No,No,,,,"Poldrack, RA"
5,ds000007,https://openneuro.org/datasets/ds000007/versions/00001,ds000007,10/13/2016,10/13/2016,20,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50","Stop Manual, Stop Vocal, Stop Word",,,,No,No,,,,"RA, Poldrack"
6,ds000008,https://openneuro.org/datasets/ds000008/versions/00001,ds000008,10/13/2016,10/13/2016,14,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50","stop signal, conditional stop signal",,,,No,No,,,,"Poldrack, R.A."
7,ds000011,https://openneuro.org/datasets/ds000011/versions/1.0.0,Classification learning and tone-counting,10/13/2016,10/13/2016,14,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50","Classification probe without feedback, Dual-task weather prediction, Single-task weather prediction, tone-counting",,,,No,No,,,,"Poldrack, Russell A."
8,ds000051,https://openneuro.org/datasets/ds000051/versions/00001,Cross-language repetition priming,10/14/2016,10/14/2016,13,"MRI - func, MRI - anat",,,abstract-concrete judgment,,,,No,No,,,,"Poldrack, R.A."
9,ds000052,https://openneuro.org/datasets/ds000052/versions/00001,ds000052,10/14/2016,10/14/2016,13,"MRI - func, MRI - anat",,,"Reversal weather prediction, Weather prediction",,,,No,No,,,,"Gluck, M"
10,ds000101,https://openneuro.org/datasets/ds000101/versions/00004,ds000101,10/14/2016,10/14/2016,21,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",Simon Task,,,,No,No,,,,"MP, Milham"
