,dsnum,taskname
0,ds000001,balloon analog risk task
1,ds000002,probabilistic classification
2,ds000002,mixed event-related probe
3,ds000002,deterministic classification
4,ds000003,rhyme judgment
5,ds000005,mixed-gambles task
6,ds000006,living-nonliving decision with plain or mirror-reversed text
7,ds000007,Stop Manual
8,ds000007,Stop Vocal
9,ds000007,Stop Word
10,ds000008,stop signal
11,ds000008,conditional stop signal
12,ds000009,balloon analog risk task
13,ds000009,discounting
14,ds000009,stop signal
15,ds000009,emotional regulation
16,ds000011,Dual-task weather prediction
17,ds000011,Classification probe without feedback
18,ds000011,tone-counting
19,ds000011,Single-task weather prediction
20,ds000017,selective stop-signal task
21,ds000017,probabilistic classification
22,ds000030,bht
23,ds000030,pamret
24,ds000030,taskswitch
25,ds000030,rest
26,ds000030,pamenc
27,ds000030,bart
28,ds000030,scap
29,ds000030,stopsignal
30,ds000031,breath hold
31,ds000031,n-back
32,ds000031,dotstop
33,ds000031,spatial wm
34,ds000031,rest
35,ds000031,eyesopen
36,ds000031,objects
37,ds000031,retinotopy
38,ds000031,language wm
39,ds000051,abstract-concrete judgment
40,ds000052,Reversal weather prediction
41,ds000052,Weather prediction
42,ds000053,Post-test
43,ds000053,Training
44,ds000053,Baseline
45,ds000101,Simon Task
46,ds000102,Flanker
47,ds000105,object viewing
48,ds000107,one-back task
49,ds000108,Emotion regulation
50,ds000109,theory of mind with manual response
51,ds000110,Incidental encoding task using Posner cueing paradigm with object v greeble judgment
52,ds000114,finger_foot_lips
53,ds000114,line_bisection
54,ds000114,covert_verb_generation
55,ds000114,overt_verb_generation
56,ds000114,overt_word_repetition
57,ds000115,letter 0-back task
58,ds000115,letter 2-back task
59,ds000115,letter 1-back task
60,ds000116,auditory oddball with button response to target stimuli
61,ds000116,visual oddball with button response to target stimuli
62,ds000117,facerecognition
63,ds000119,"visual guided saccade (vgs, aka ProSaccade) and antisaccace (anti) task"
64,ds000120,antisaccade task with fixed order
65,ds000121,AntiSaccade (AS) Rewarded & Neutral with varying dot position
66,ds000122,visual attention task
67,ds000133,Resting State
68,ds000138,post heat stimulation
69,ds000138,pre heat stimulation
70,ds000140,heat pain with regulation and ratings
71,ds000144,emotional faces
72,ds000148,figure 2-back with 1-back lures
73,ds000149,picture n-back
74,ds000149,picture manual response
75,ds000157,Passive viewing task with blocks of food and nonfood images
76,ds000158,passive listening
77,ds000164,Stroop Task
78,ds000168,OP
79,ds000170,"Untrained Hand, Trained Sequence"
80,ds000170,"Untrained Hand, Untrained Sequence"
81,ds000170,"Trained Hand, Untrained Sequence"
82,ds000170,"Trained Hand, Trained Sequence"
83,ds000171,Non-Music
84,ds000171,Music
85,ds000172,Resting State
86,ds000200,Olfactory
87,ds000203,Visual imagery false memory
88,ds000205,Functional localizer
89,ds000205,Passive Viewing
90,ds000208,rest
91,ds000210,cuedSGT
92,ds000210,rest
93,ds000212,MPRAGE
94,ds000212,dis
95,ds000212,tomloc
96,ds000212,tom
97,ds000212,fb
98,ds000213,social comparison
99,ds000214,Cyberball
100,ds000216,rest
101,ds000217,localizer
102,ds000217,route learning
103,ds000218,ONS flavour task
104,ds000219,RP flavour task
105,ds000220,rest
106,ds000221,Rest
107,ds000223,mag
108,ds000224,motor
109,ds000224,memoryscenes
110,ds000224,memoryfaces
111,ds000224,rest
112,ds000224,glasslexical
113,ds000224,memorywords
114,ds000229,flavor
115,ds000231,flavor
116,ds000233,beh
117,ds000233,tax
118,ds000237,MemorySpan
119,ds000238,Quick4n
120,ds000238,Slow10
121,ds000238,Quick6
122,ds000238,Med8
123,ds000238,Slow12
124,ds000243,rest
125,ds000244,HCP gambling
126,ds000244,archi standard
127,ds000244,HCP motor
128,ds000244,HCP relational
129,ds000244,HCP social
130,ds000244,archi social
131,ds000244,archi emotional
132,ds000244,RSVP language
133,ds000244,archi spatial
134,ds000244,HCP emotion
135,ds000244,HCP langage
136,ds000244,HCP WM
137,ds000245,rest
138,ds000246,AEF
139,ds000246,noise
140,ds000247,noise
141,ds000247,rest
142,ds000248,audiovisual
143,ds000253,Experimental Run 4
144,ds000253,Experimental Run 1
145,ds000253,Localizer
146,ds000253,Experimental Run 3
147,ds000253,Experimental Run 2
148,ds000254,bilateralfingertapping
149,ds000255,viewRandom
150,ds000255,viewFigure
151,ds000258,rest
152,ds000258,None
153,ds001021,REST_645
154,ds001021,BREATH_HOLD_1400
155,ds001021,CHECKERBOARD_1400
156,ds001021,MPRAGE_SIEMENS
