Month of Year,Sessions,Users
Jun 2017,378,220
Jul 2017,335,176
Aug 2017,566,274
Sep 2017,812,369
Oct 2017,710,319
Nov 2017,1352,585
Dec 2017,1200,548
Jan 2018,1166,590
Feb 2018,1733,833
Mar 2018,2533,1355
Apr 2018,2772,1437
May 2018,6142,3009
Jun 2018,5076,2792
Jul 2018,6096,2933
Aug 2018,5382,2620
Sep 2018,6404,2922
Oct 2018,8034,4100
Nov 2018,6821,3658
Dec 2018,6001,3347
Jan 2019,7089,4108
Feb 2019,6984,4125
Mar 2019,7954,4608
Apr 2019,7623,4468
May 2019,7815,4324
Jun 2019,7394,4076
Jul 2019,7145,4017
Aug 2019,6727,3748
Sep 2019,7262,4190
Oct 2019,8961,5137
Nov 2019,8533,4964
Dec 2019,7789,4565
Jan 2020,8365,4823
Feb 2020,8572,4850
Mar 2020,9254,5118
Apr 2020,10916,5921
May 2020,12299,6862
Jun 2020,11400,6437
Jul 2020,12091,6694
Aug 2020,10346,5675
Sep 2020,11231,6205
Oct 2020,12415,6939
Nov 2020,12317,6664
Dec 2020,11515,6350
Jan 2021,12585,7002
Feb 2021,13636,7470
Mar 2021,16174,8751
Apr 2021,15964,8897
May 2021,13943,7399
