Title,DOI,URL,Senior Author,Publisher,Year,Country of Senior Author Affiliation,Number of Citations
Side information dependence as a regularizer for analyzing human brain conditions across cognitive experiments,10.1609/aaai.v34i04.6179,n/a,Lu H.,AAAI Technical Track,2020,United Kingdom,3
All-resolutions inference for brain imaging,10.1016/j.neuroimage.2018.07.060,n/a,Goeman J.,Academic Press,2018,Netherlands,14
Probabilistic TFCE: a generalized combination of cluster size and voxel intensity to increase statistical power,10.1016/j.neuroimage.2018.09.078,n/a,Kincses Z.,Academic Press,2019,Hungary,26
Extraction of the cardiac waveform from simultaneous multislice fMRI data using slice sorted averaging and a deep learning reconstruction filter,10.1016/j.neuroimage.2019.05.049,n/a,Frederick B.,Academic Press,2019,United States,12
Nature abhors a paywall: How open science can realize the potential of naturalistic stimuli,10.1016/j.neuroimage.2019.116330,n/a,Poline J.,Academic Press,2020,Canada,10
There is no single functional atlas even for a single individual: Functional parcel definitions change with task,10.1016/j.neuroimage.2019.116366,n/a,Constable R.,Academic Press,2020,United States,52
The effect of global signal regression on DCM estimates of noise and effective connectivity from resting state fMRI,10.1016/j.neuroimage.2019.116435,n/a,Marinazzo D.,Academic Press,2020,Belgium,4
Identifying and removing widespread signal deflections from fMRI data: Rethinking the global signal regression problem,10.1016/j.neuroimage.2020.116614,n/a,Fornito A.,Academic Press,2020,Australia,29
Intersubject consistent dynamic connectivity during natural vision revealed by functional MRI,10.1016/j.neuroimage.2020.116698,n/a,Biswal B.,Academic Press,2020,United States,3
Fastsurfer-a fast and accurate deep learning based neuroimaging pipeline,10.1016/j.neuroimage.2020.117012,n/a,Reuter M.,Academic Press,2020,United States,37
Fine-grain atlases of functional modes for fMRI analysis,10.1016/j.neuroimage.2020.117126,n/a,Mensch A.,Academic Press,2020,France,6
Custom-molded headcases have limited efficacy in reducing head motion during naturalistic fMRI experiments,10.1016/j.neuroimage.2020.117207,n/a,Chang L.,Academic Press,2020,United States,6
The open eeglab portal interface: High-performance computing with eeglab,10.1016/j.neuroimage.2020.116778,n/a,Makeig S.,Academic Press,2021,United States,11
Impact of concatenating fMRI data on reliability for functional connectomics,10.1016/j.neuroimage.2020.117549,n/a,Xu T.,Academic Press,2021,United States,4
Emergence and organization of adult brain function throughout child development,10.1016/j.neuroimage.2020.117606,n/a,Turk-Browne N.,Academic Press,2021,United States,3
Deep learning based segmentation of brain tissue from diffusion MRI,10.1016/j.neuroimage.2021.117934,n/a,Pasternak O.,Academic Press,2021,United States,3
MEG current source reconstruction using a meta-analysis fMRI prior,10.1016/j.neuroimage.2021.118034,n/a,Yamashita O.,Academic Press,2021,Japan,0
Probabilistic mapping of human functional brain networks identifies regions of high group consensus,10.1016/j.neuroimage.2021.118164,n/a,Gratton C.,Academic Press,2021,United States,1
Bayesian mixed effect sparse tensor response regression model with joint estimation of activation and connectivity,arXiv:1904.00148,n/a,Prado R.,arxiv,2019,United States,2
Neural topographic factor analysis for fmri data,arXiv:1906.08901 ,n/a,van de Meent J.,arxiv,2020,United States,1
Spatial 3D Mat'ern priors for fast whole-brain fMRI analysis,arXiv:1906.10591,n/a,Villani M.,arxiv,2020,Sweden,3
Conditional independence testing via weighted partial copulas,arXiv:2006.12839 ,n/a,Portier F.,arxiv,2021,France,1
How do we generalize?,arXiv:2104.00899,n/a,Zeithamova D.,arxiv,2021,United States,0
Permutation-based true discovery guarantee by sum tests,arXiv:2102.11759,n/a,Goeman J.,arxiv,2021,The Netherlands,1
The Euler Characteristic: A General Topological Descriptor for Complex Data,arXiv:2103.03144,n/a,Zavala V.,arxiv,2021,United States,1
Equitable thresholding and clustering,10.1101/295931,n/a,Cox R.,biorxiv,2018,United States,16
"Highly predictive transdiagnostic features shared across schizophrenia, bipolar disorder, and adhd identified using a machine learning based approach",10.1101/453951,n/a,Ahammad P.,biorxiv,2018,United States,2
The identification of temporal communities through trajectory clustering correlates with single-trial behavioural fluctuations in neuroimaging data,10.1101/617027,n/a,Poldrack R.,biorxiv,2019,United States,1
Comparing Alternative Computational Models of the Stroop Task Using Effective Connectivity Analysis of fMRI Data,10.1101/647271,n/a,Stocco A.,biorxiv,2019,United States,0
Principal component analysis revealed multiple consistent responses to naturalistic stimuli in children and adults,10.1101/2020.05.01.073163,n/a,Biswal B.,biorxiv,2020,United States,0
Sleeping While Awake: The Intrusion of Neural Activity Associated with Sleep Onset in the Awake Human Brain,10.1101/2020.06.04.133603,n/a,Poudel G.,biorxiv,2020,Australia,5
Linking cerebellar functional gradients to transdiagnostic behavioral dimensions of psychopathology,10.1101/2020.06.15.153254,n/a,Yao D.,biorxiv,2020,China,0
Neural signatures of attentional engagement during narratives and its consequences for event memory,10.1101/2020.08.26.266320,n/a,Rosenberg M.,biorxiv,2020,United States,3
Modeling the hemodynamic response function using simultaneous EEG-fMRI data and convolutional sparse coding analysis with rank-1 constraints,10.1101/2020.09.09.290296,n/a,Mitsis G.,biorxiv,2020,Canada,0
Removing independent noise in systems neuroscience data using DeepInterpolation,10.1101/2020.10.15.341602,n/a,Koch C.,biorxiv,2020,United States,1
Meet me in the middle: brain-behavior mediation analysis for fMRI experiments,10.1101/2020.10.17.343798,n/a,Daunizeau J.,biorxiv,2020,France,0
A pipeline to characterize local cortical folds by mapping them to human-interpretable shapes,10.1101/2020.11.25.388785,n/a,Troiani V.,biorxiv,2020,United States,0
Using distance on the Riemannian manifold to compare representations in brain and models,10.1101/2020.11.25.398511,n/a,Nili H.,biorxiv,2020,United Kingdom,0
Non-linear manifold learning in fMRI uncovers a low-dimensional space of brain dynamics,10.1101/2020.11.25.398693,n/a,Scheinost D.,biorxiv,2020,United States,0
Activity flow underlying abnormalities in brain activations and cognition in schizophrenia,10.1101/2020.12.16.423109,n/a,Cole M.,biorxiv,2020,United States,0
An edge-centric model for harmonizing multi-relational network datasets,10.1101/2021.01.07.425450,n/a,Betzel R.,biorxiv,2021,United States,2
"Divergent Connectional Asymmetries of the Inferior Parietal Lobule Shape Hemispheric Specialization in Humans, Chimpanzees, and Macaque Monkeys",10.1101/2021.01.26.428189,n/a,Jiang T.,biorxiv,2021,China,0
A candidate neuroimaging biomarker for detection of neurotransmission-related functional alterations and prediction of pharmacological analgesic response in …,10.1101/2021.02.17.431572,n/a,Dipasquale O.,biorxiv,2021,United Kingdom,0
Individualized event structure drives individual differences in whole-brain functional connectivity,10.1101/2021.03.12.435168,n/a,Sporns O.,biorxiv,2021,United States,3
Transcriptional and cellular signatures of cortical morphometric similarity remodelling in chronic pain,10.1101/2021.03.24.436777,n/a,Williams S.,biorxiv,2021,United Kingdom,0
Reproducible Coactivation Patterns of Functional Brain Networks Reveal the Aberrant Dynamic State Transition in Schizophrenia,10.1101/2021.03.29.437611,n/a,Biswal B.,biorxiv,2021,China,0
Quantifying control circuit regulation in the human brain.,10.1101/2021.03.30.437729,n/a,Mujica-Parodi L.,biorxiv,2021,United States,0
Thinking out loud: an open-access EEG-based BCI dataset for inner speech recognition,10.1101/2021.04.19.440473,n/a,Spies R.,biorxiv,2021,Argentina,0
ElectroEncephaloGraphy robust linear modelling using weights reflecting single trials' dynamics,10.1101/2021.04.27.441629,n/a,Delorme A.,biorxiv,2021,France,0
Robust linear modelling in ElectroEncephaloGraphy can be obtained using single weights reflecting each single trials' dynamics,10.1101/2021.04.27.441629,n/a,Delorme A.,biorxiv,2021,France,0
Capturing the nature of events and event context using Hierarchical Event Descriptors (HED),10.1101/2021.05.06.442841,n/a,Makeig S.,biorxiv,2021,United States,0
"ENIGMA HALFpipe: Interactive, reproducible, and efficient analysis for resting-state and task-based fMRI data",10.1101/2021.05.07.442790,n/a,Veer I.,biorxiv,2021,Germany,0
