"Title","Investigator","Institute","Fiscal Year","FOA Number","Funded Status","Project Number","Priority Area","Application ID"
"Imaging the D2/A2A Heterodimer with PET","Mach, Robert H","University Of Pennsylvania","2018","RFA-EB-17-003","Active","1R01EB026988-01","Human NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural Activity","9617498"
"A TOF, DOI, MRI compatible PET detector to support sub-millimeter neuroPET imaging","Dolinsky, Sergei Miyaoka, Robert S (contact)","University Of Washington","2018","RFA-EB-17-003","Active","1R01EB026964-01","Human NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural Activity","9616697"
"Lightweight, Compact, Low-Cryogen, Head-Only 7T MRI for High Spatial Resolution Brain Imaging","Foo, Thomas  (contact) Shu, Yunhong Xu, Duan","General Electric Global Research Ctr","2018","RFA-EB-17-004","Active","1U01EB026976-01","Human NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural Activity","9617118"
"Crowdsourcing the Fly Connectome","Murthy, Mala Seung, Hyunjune Sebastian (contact)","Princeton University","2018","RFA-MH-18-505","Active","1RF1MH117815-01","Cell Type","9610061"
"Spatially Resolved Methylomes to Map Neuronal Cell-Type Connectivity in Tissue","Henley, Robert Youssefian","Salk Institute For Biological Studies","2018","RFA-MH-18-510","Active","1F32MH118706-01","Cell TypeCircuit DiagramsHuman NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural ActivityTheory & Data Analysis Tools","9668226"
"TRACT:  A TOOL TO INVESTIGATE BRAIN CONNECTIVITY AND TO GENETICALLY MANIPULATE NEURONS CONNECTED BY SYNAPSES","Hong, Elizabeth Jennifer Lois, Carlos  (contact)","California Institute Of Technology","2018","RFA-MH-18-505","Active","1RF1MH117825-01","Cell Type","9610546"
"Wireless High-Density Diffuse Optical Tomography for Decoding Brain Activity","Culver, Joseph P","Washington University","2018","RFA-EB-17-004","Active","1U01EB027005-01","Human NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural Activity","9617591"
"Assessing the Effects of Deep Brain Stimulation on Agency","Roskies, Adina L","Dartmouth College","2018","RFA-MH-18-500","Active","1RF1MH117813-01","Cell TypeCircuit DiagramsHuman NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural ActivityTheory & Data Analysis Tools","9609947"
"Real-time statistical algorithms for controlling neural dynamics and behavior","Park, Il Memming (contact) Pillow, Jonathan William","State University New York Stony Brook","2018","RFA-EB-17-005","Active","1R01EB026946-01","Integrated ApproachesTheory & Data Analysis Tools","9615336"
"Nonlinear Causal Analysis of Neural Signals","Sejnowski, Terrence J","University Of California, San Diego","2018","RFA-EB-17-005","Active","1R01EB026899-01","Integrated ApproachesTheory & Data Analysis Tools","9608443"
"Trans-synaptic bidirectional tracing tools for imaging and omics analysis","Shah, Nirao Mahesh Ting, Alice Y (contact)","Stanford University","2018","RFA-MH-18-505","Active","1RF1MH117821-01","Cell Type","9610340"
