Title,Dataset Mention
Bayesian mixed effect sparse tensor response regression model with joint estimation of activation and connectivity,ds000001
Exploring the impact of analysis software on task fMRI results,ds000001
Fine-grain atlases of functional modes for fMRI analysis,ds000001
Joint Bayesian Estimation of Voxel Activation and Inter-regional Connectivity in fMRI Experiments,ds000001
On the Reproducibility and Interpretability of Group-Level Task-fMRI Results,ds000001
Performance Evaluation of Big Data Processing Strategies for Neuroimaging,ds000001
Fine-grain atlases of functional modes for fMRI analysis,ds000002
Short-term classification learning promotes rapid global improvements of information processing in human brain functional connectome,ds000002
Analysis of task-based functional MRI data preprocessed with fMRIPrep,ds000003
Beware (surprisingly common) left-right flips in your MRI data: an efficient and robust method to check MRI dataset consistency using AFNI,ds000003
Estimating feedforward and feedback effective connections from fMRI time series: Assessments of statistical methods,ds000003
Fine-grain atlases of functional modes for fMRI analysis,ds000003
Inferring Effective Connectivity Networks From fMRI Time Series With a Temporal Entropy-Score,ds000003
The visual word form area (VWFA) is part of both language and attention circuitry,ds000003
Fine-grain atlases of functional modes for fMRI analysis,ds000006
Fine-grain atlases of functional modes for fMRI analysis,ds000007
Side information dependence as a regularizer for analyzing human brain conditions across cognitive experiments,ds000007
Fine-grain atlases of functional modes for fMRI analysis,ds000008
Side information dependence as a regularizer for analyzing human brain conditions across cognitive experiments,ds000008
Fine-grain atlases of functional modes for fMRI analysis,ds000011
Fine-grain atlases of functional modes for fMRI analysis,ds000017
3D deformable convolutions for MRI classification,ds000030
3DCNN interpretation facilitates MRI-based disease classification,ds000030
A pipeline to characterize local cortical folds by mapping them to human-interpretable shapes,ds000030
Activity flow underlying abnormalities in brain activations and cognition in schizophrenia,ds000030
Common and different gray and white matter alterations in bipolar and borderline personality disorder: A source-based morphometry study,ds000030
Detecting microstructural deviations in individuals with deep diffusion MRI tractometry,ds000030
Disentangling age‐and disease‐related alterations in schizophrenia brain network using structural equation modeling: A graph theoretical study based on minimum …,ds000030
"Distinct and temporally associated neural mechanisms underlying concurrent, postsuccess, and posterror cognitive controls: Evidence from a stop‐signal task",ds000030
Distinct hierarchical alterations of intrinsic neural timescales account for different manifestations of psychosis,ds000030
Effects of spatial smoothing on group-level differences in functional brain networks,ds000030
Equitable thresholding and clustering,ds000030
Evaluation of denoising strategies for task‐based functional connectivity: Equalizing residual motion artifacts between rest and cognitively demanding tasks,ds000030
Fastsurfer-a fast and accurate deep learning based neuroimaging pipeline,ds000030
"Highly predictive transdiagnostic features shared across schizophrenia, bipolar disorder, and adhd identified using a machine learning based approach",ds000030
Identifying and removing widespread signal deflections from fMRI data: Rethinking the global signal regression problem,ds000030
Investigating inhibition deficit in schizophrenia using task-modulated brain networks,ds000030
Linking cerebellar functional gradients to transdiagnostic behavioral dimensions of psychopathology,ds000030
"Machine learning models identify multimodal measurements highly predictive of transdiagnostic symptom severity for mood, anhedonia, and anxiety",ds000030
Multimodal MRI Study Using Convolutional Neural Networks for Schizophrenia Classification,ds000030
Non-linear manifold learning in fMRI uncovers a low-dimensional space of brain dynamics,ds000030
Out of control: An altered parieto-occipital-cerebellar network for impulsivity in bipolar disorder,ds000030
PCA based dimensionality reduction of MRI images for training support vector machine to aid diagnosis of bipolar disorder,ds000030
Probabilistic TFCE: a generalized combination of cluster size and voxel intensity to increase statistical power,ds000030
Reproducible Coactivation Patterns of Functional Brain Networks Reveal the Aberrant Dynamic State Transition in Schizophrenia,ds000030
Shared and distinct white matter abnormalities in schizophrenia and bipolar disorder,ds000030
Testing the expanded continuum hypothesis of schizophrenia and bipolar disorder. Neural and psychological evidence for shared and distinct mechanisms,ds000030
Inter-group Heterogeneity of Regional Homogeneity (REHO),ds000030
A generalizable method for automated quality control of functional neuroimaging datasets,ds000030
Diffusion-Weighted Imaging,ds000031
Extraction of the cardiac waveform from simultaneous multislice fMRI data using slice sorted averaging and a deep learning reconstruction filter,ds000031
Individualized event structure drives individual differences in whole-brain functional connectivity,ds000031
The effect of global signal regression on DCM estimates of noise and effective connectivity from resting state fMRI,ds000031
Fine-grain atlases of functional modes for fMRI analysis,ds000051
Fine-grain atlases of functional modes for fMRI analysis,ds000052
Short-term classification learning promotes rapid global improvements of information processing in human brain functional connectome,ds000052
Meet me in the middle: brain-behavior mediation analysis for fMRI experiments,ds000053
Fine-grain atlases of functional modes for fMRI analysis,ds000101
Side information dependence as a regularizer for analyzing human brain conditions across cognitive experiments,ds000101
Fine-grain atlases of functional modes for fMRI analysis,ds000102
Side information dependence as a regularizer for analyzing human brain conditions across cognitive experiments,ds000102
The visual word form area (VWFA) is part of both language and attention circuitry,ds000102
Diffusion-Weighted Imaging,ds000105
Fine-grain atlases of functional modes for fMRI analysis,ds000105
Fuzzy general linear modeling for functional magnetic resonance imaging analysis,ds000105
Neural topographic factor analysis for fmri data,ds000105
On the analysis of layer-specific fMRI,ds000105
Perceived Image Reconstruction from Human Brain Activity via Time-Series Information Guided Generative Adversarial Networks,ds000105
Using distance on the Riemannian manifold to compare representations in brain and models,ds000105
Fine-grain atlases of functional modes for fMRI analysis,ds000107
